RT,9,5,0,9,9,9,9,9,5,0,9,9,9,9,9,5,0,9,9,0,9,9,7,2,9,9,9,9,9,9,0
MR,8,8,0,8,8,8,8,8,0,0,8,8,7,8,8,9,0,8,8,0,8,8,0,0,8,8,8,8,8,9,0
TV,3,3,0,3,3,3,3,3,0,0,3,3,3,3,3,3,0,3,3,0,3,3,0,0,3,3,3,3,3,3,0
KS,5,5,0,5,5,5,5,5,0,0,5,5,5,5,5,5,0,5,5,0,5,5,0,0,5,5,5,5,5,5,0
NM,3,2,0,3,3,3,3,3,0,0,3,3,3,3,3,2,0,3,3,0,3,3,0,0,3,3,3,3,3,2,0
XP,5,5,0,5,5,5,5,5,0,0,5,5,5,5,5,5,0,5,5,0,5,5,0,0,5,5,5,5,5,5,0
MG,2,0,0,2,2,2,2,2,0,0,2,2,2,2,2,0,0,2,2,0,2,2,0,0,2,2,2,2,2,0,0
MT,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
CT,8,8,0,8,8,8,8,8,0,0,8,8,8,8,8,8,0,8,8,0,8,8,0,0,8,8,8,8,8,8,0
XO,6,6,0,6,6,6,6,6,0,0,6,6,6,6,6,6,0,6,6,0,6,6,0,0,6,6,6,6,6,6,0
AG,6,4,0,6,6,6,6,6,0,0,6,6,6,6,6,4,0,6,6,0,6,6,0,0,6,6,6,6,6,4,0
FR,2,3,0,2,2,2,1,3,0,0,3,2,2,1,3,2,0,3,3,0,2,3,0,0,3,3,2,2,3,2,0
