,2023-03-20,2023-03-21,2023-03-22,2023-03-23,2023-03-24,2023-03-25,2023-03-26,2023-03-27,2023-03-28,2023-03-29,2023-03-30,2023-03-31,2023-04-01,2023-04-02,2023-04-03,2023-04-04,2023-04-05,2023-04-06,2023-04-07,2023-04-08,2023-04-09,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-14,2023-04-15,2023-04-16,2023-04-17,2023-04-18,2023-04-19,2023-04-20,2023-04-21,2023-04-22,2023-04-23,2023-04-24,2023-04-25,2023-04-26,2023-04-27,2023-04-28,2023-04-29,2023-04-30,2023-05-01
2,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,暇,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,暇,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,休,休,
4,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,休,休,
5,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,休,休,
6,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,F日,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,C日,休,休,勤,勤,勤,勤,休,休,
7,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,休,休,
8,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,休,休,C夜,明,勤,勤,勤,勤,休,C夜,明,勤,勤,勤,勤,休,休,
9,,,,,,,,,,,,,勤,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,休,休,
10,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,休,休,F日,勤,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,F日,休,
11,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,休,休,勤,休,休,勤,勤,C夜,明,勤,勤,勤,勤,勤,休,F日,
12,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,暇,暇,暇,暇,暇,休,休,A夜,明,勤,勤,勤,勤,A夜,明,勤,勤,勤,勤,休,休,勤,勤,勤,休,勤,休,休,
13,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,暇,暇,暇,勤,休,休,勤,勤,勤,勤,勤,休,休,
14,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,休,休,
15,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,C夜,明,勤,勤,勤,休,休,勤,勤,勤,C夜,明,勤,休,勤,勤,勤,勤,勤,休,休,勤,休,休,勤,勤,C夜,明,
16,,,,,,,,,,,,,勤,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,休,休,
17,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,F日,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,休,休,F日,
18,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,F日,勤,勤,勤,勤,暇,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,休,勤,休,休,暇,暇,暇,暇,暇,休,休,
19,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,暇,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,暇,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,休,休,
20,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,休,休,
23,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,休,休,暇,暇,暇,暇,暇,休,休,
24,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,暇,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,暇,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,休,休,
26,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,A日,勤,勤,勤,休,A夜,明,休,勤,勤,勤,他,他,他,他,休,休,A夜,明,勤,休,休,勤,勤,勤,勤,勤,休,休,
27,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,A夜,明,勤,勤,勤,A夜,明,休,休,暇,暇,暇,暇,暇,暇,休,勤,勤,勤,勤,勤,休,休,勤,休,A夜,明,勤,休,休,
28,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,休,勤,勤,M夜,明,休,休,勤,勤,勤,勤,勤,勤,休,勤,C夜,明,勤,勤,休,休,勤,勤,勤,勤,M夜,明,休,
29,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,休,休,
30,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,M夜,明,休,勤,勤,勤,勤,勤,A夜,明,勤,休,勤,勤,休,休,M日,
32,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,休,休,
33,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,M夜,明,休,勤,勤,勤,勤,勤,休,休,勤,勤,休,休,A夜,明,休,休,勤,勤,勤,A夜,明,休,勤,勤,勤,勤,勤,M夜,明,
34,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,M夜,明,勤,勤,勤,休,休,勤,勤,勤,休,休,勤,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,A夜,明,
35,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,C夜,明,休,休,暇,暇,暇,暇,暇,暇,休,勤,勤,勤,勤,休,休,A日,勤,勤,勤,勤,勤,休,休,
36,,,,,,,,,,,,,勤,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,休,休,
37,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,休,休,勤,F日,休,休,勤,勤,勤,勤,M夜,明,勤,勤,勤,勤,勤,休,M日,勤,勤,勤,勤,勤,休,休,
38,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,休,勤,勤,勤,A日,休,休,勤,勤,勤,勤,A夜,明,勤,勤,勤,勤,勤,休,休,勤,勤,勤,A夜,明,休,休,
39,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,A夜,明,休,暇,暇,暇,暇,暇,休,休,勤,勤,休,勤,勤,勤,A日,勤,勤,勤,勤,休,休,A夜,明,勤,勤,勤,勤,休,休,
40,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,暇,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,暇,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,休,休,
41,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,休,休,
42,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,C夜,明,休,暇,暇,暇,暇,暇,休,休,勤,勤,勤,A夜,明,勤,休,勤,勤,勤,勤,勤,休,休,勤,A夜,明,勤,勤,休,休,
43,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,休,休,暇,暇,暇,暇,暇,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,休,休,
45,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,A夜,明,勤,休,勤,勤,勤,C夜,明,勤,勤,休,A夜,明,休,休,暇,暇,暇,暇,暇,休,休,
46,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,休,休,
47,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,M夜,明,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,M夜,明,休,勤,休,休,勤,勤,M夜,明,勤,休,休,
49,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,暇,暇,暇,暇,暇,休,休,A夜,明,勤,勤,勤,休,A日,
50,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,C夜,明,休,勤,勤,勤,勤,休,休,A夜,明
53,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,C夜,明,休,勤,勤,M夜,明,勤,休,休,勤,勤,勤,M夜,明,休,休,暇,暇,暇,暇,暇,休,休,
54,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,休,休,
56,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,F日,勤,勤,休,休,勤,F日,休,
58,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,A夜,明,勤,勤,休,休,勤,勤,A夜,明,勤,勤,休,勤,勤,勤,勤,勤,A日,休,休,勤,勤,勤,勤,休,休,
59,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,M夜,明,勤,勤,休,休,勤,M夜,明,勤,勤,勤,休,勤,勤,勤,C夜,明,休,休,暇,暇,暇,暇,暇,休,休,
60,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,M日,勤,休,休,勤,休,休,C夜,明,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,A夜,明,休,
62,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,M日,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,C日,勤,勤,休,休,勤,休,休,
65,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,A夜,明,勤,勤,勤,勤,休,A夜,明,勤,勤,休,休,勤,休,勤,A夜,明,勤,勤,休,休,勤,勤,勤,勤,勤,休,休,
66,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,休,休,勤,F日,勤,勤,勤,勤,勤,C日,休,
67,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,休,勤,A夜,明,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,A日,休,
68,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,休,C日,勤,勤,勤,勤,勤,勤,休,M夜,明,勤,勤,勤,M日,休,休,勤,勤,勤,勤,休,休,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,C夜,明,勤,休,休,勤,C夜,明,休,休,勤,休,休,勤,勤,他,他,他,他,勤,勤,勤,勤,C夜,明,休,
73,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,M夜,明,勤,勤,勤,勤,勤,休,休,勤,休,休,勤,勤,勤,休,勤,勤,勤,勤,M夜,明,休,休,勤,勤,勤,勤,M日,休,
74,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,M夜,明,休,勤,勤,勤,勤,勤,勤,F日,勤,休,休,勤,勤,休,休,M夜,明,勤,勤,勤,休,休,
75,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,休,休,勤,勤,C夜,明,勤,勤,休,暇,暇,暇,暇,暇,休,休,C夜,明,勤,勤,勤,休,休,
76,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,C夜,明,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,C日,勤,勤,勤,休,勤,F日,休,勤,勤,休,休,勤,休,休,
77,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,A夜,明,勤,勤,勤,休,休,勤,A夜,明,勤,勤,勤,休,A夜,明,勤,勤,勤,休,休,暇,暇,暇,暇,暇,休,休,
78,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,休,M夜,明,勤,休,休,M夜,明,勤,勤,勤,勤,M夜,明,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,休,休,
79,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,暇,暇,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,休,休,
80,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,休,休,M日,休,休,勤,勤,勤,勤,M日,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,休,M夜,明
81,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,C日,勤,勤,勤,勤,勤,休,休,C夜,明,勤,勤,勤,勤,休,勤,休,休,勤,勤,休,休,勤,勤,勤,勤,勤,休,C日,
82,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,休,休,勤,休,休,M夜,明,勤,休,勤,勤,勤,勤,勤,M夜,明,勤,勤,勤,M夜,明,休,休,
84,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,C日,休,休,勤,勤,勤,勤,勤,休,勤,勤,C夜,明,勤,休,休,勤,勤,勤,C夜,明,休,休,
85,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,休,休,F日,勤,勤,勤,勤,勤,勤,休,勤,勤,M夜,明,勤,休,休,勤,M夜,明,勤,勤,休,休,
86,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,休,休,勤,C夜,明,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,休,休,勤,C夜,明,勤,勤,休,休,
87,勤,休,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,勤,勤,勤,勤,勤,休,休,勤,勤,勤,勤,勤,勤,休,C夜,明,勤,勤,勤,休,休,勤,勤,勤,勤,休,休,C夜,明
