,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2,1,,1,1,1,,,1,1,1,1,1,,,1,1,1,1,1,,,1,1,1,1,1,,,1,1,1,1,1,,,1,1,1,1,1,,,
4,1,,1,1,1,,,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,,,
5,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,,,
6,1,,1,1,1,,,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,1,,,
7,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,,,
8,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,,,
9,,,,,,,,,,,,,1,,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,,,
10,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,,,1,1,1,1,1,1,1,,,1,1,1,1,,,1,1,1,1,1,1,,
11,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,,,1,,,1,1,1,1,1,1,1,1,1,,1,
12,1,,1,1,1,,,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,,1,,,
13,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,1,,1,,,,1,,,1,1,1,1,1,,,
14,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,,,
15,1,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,,,1,1,1,1,
16,,,,,,,,,,,,,1,,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,,,
17,1,,1,1,1,,,1,1,1,1,1,1,,1,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,1,
18,1,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,,1,1,1,,1,,,,,,,,,,
